,Country,Gini Index,2021 Population
149,Afghanistan,0.655,39835428
158,Albania,0.637,2872933
68,Algeria,0.7490000000000001,44616624
83,Angola,0.731,33933610
14,Antigua And Barbuda,0.823,98731
53,Argentina,0.768,45605826
140,Armenia,0.6629999999999999,2968127
107,Aruba,0.703,107204
147,Australia,0.6559999999999999,25788215
79,Austria,0.7390000000000001,9043070
151,Azerbaijan,0.654,10223342
12,Bahamas,0.828,396913
69,Bahrain,0.747,1748296
129,Bangladesh,0.6779999999999999,166303498
43,Barbados,0.778,287711
163,Belarus,0.621,9442862
166,Belgium,0.603,11632326
22,Belize,0.8029999999999999,404914
103,Benin,0.7070000000000001,12451040
57,Bolivia,0.764,11832940
156,Bosnia And Herzegovina,0.642,3263466
25,Botswana,0.8,2397241
4,Brazil,0.8490000000000001,213993437
39,Brunei,0.787,441532
146,Bulgaria,0.659,6896663
120,Burkina Faso,0.688,21497096
126,Burundi,0.6809999999999999,12255433
97,Cambodia,0.718,16946438
74,Cameroon,0.743,27224265
88,Canada,0.728,38067903
47,Central African Republic,0.777,4919981
84,Chad,0.73,16914985
27,Chile,0.7979999999999999,19212361
108,China,0.7020000000000001,1444216107
51,Colombia,0.77,51265844
41,Comoros,0.7829999999999999,888451
67,Costa Rica,0.75,5139052
154,Croatia,0.645,4081651
24,Cyprus,0.8009999999999999,1215584
91,Czech Republic,0.725,10724555
6,Denmark,0.838,5813298
86,Djibouti,0.7290000000000001,1002187
15,Dominica,0.823,72167
64,Dr Congo,0.755,92377993
60,Ecuador,0.759,17888475
63,Egypt,0.7559999999999999,104258327
75,El Salvador,0.743,6518499
35,Equatorial Guinea,0.7929999999999999,1449896
164,Eritrea,0.621,3601467
99,Estonia,0.716,1325185
165,Ethiopia,0.62,117876227
109,Fiji,0.7020000000000001,902906
77,Finland,0.742,5548360
114,France,0.696,65426179
96,Gabon,0.7190000000000001,2278825
50,Gambia,0.7709999999999999,2486945
123,Georgia,0.687,3979765
18,Germany,0.816,83900473
112,Ghana,0.6990000000000001,31732129
150,Greece,0.654,10370744
13,Grenada,0.8270000000000001,113021
78,Guinea,0.741,13497244
100,Guinea Bissau,0.7120000000000001,2015494
81,Guyana,0.7340000000000001,790326
23,Haiti,0.8009999999999999,11541685
46,Hong Kong,0.777,7552810
139,Hungary,0.6629999999999999,9634164
118,Iceland,0.6940000000000001,343353
10,India,0.8320000000000001,1393409038
9,Indonesia,0.833,276361783
104,Iran,0.705,85028759
159,Iraq,0.633,41179350
32,Ireland,0.7959999999999999,4982907
45,Israel,0.777,8789774
136,Italy,0.669,60367477
48,Jamaica,0.775,2973463
162,Japan,0.626,126050804
115,Jordan,0.696,10269021
49,Kazakhstan,0.772,18994962
72,Kenya,0.745,54985698
58,Kuwait,0.763,4328550
127,Kyrgyzstan,0.6809999999999999,6628356
34,Laos,0.794,7379358
36,Latvia,0.789,1866942
16,Lebanon,0.8190000000000001,6769146
21,Lesotho,0.805,2159079
89,Liberia,0.727,5180203
145,Libya,0.659,6958532
141,Lithuania,0.6629999999999999,2689862
135,Luxembourg,0.67,634814
93,Madagascar,0.722,28427328
66,Malawi,0.7509999999999999,19647684
30,Malaysia,0.7959999999999999,32776194
92,Maldives,0.7240000000000001,543617
102,Mali,0.7070000000000001,20855735
157,Malta,0.64,442784
128,Mauritania,0.6809999999999999,4775119
143,Mauritius,0.662,1273433
44,Mexico,0.777,130262216
155,Moldova,0.645,4024019
137,Mongolia,0.6679999999999999,3329289
152,Montenegro,0.648,628053
55,Morocco,0.7659999999999999,37344795
98,Mozambique,0.716,32163047
167,Myanmar,0.597,54806012
38,Namibia,0.7879999999999999,2587344
101,Nepal,0.71,29674920
0,Netherlands,0.902,17173099
133,New Zealand,0.672,4860643
61,Nicaragua,0.759,6702385
124,Niger,0.682,25130817
19,Nigeria,0.809,211400708
29,Norway,0.7979999999999999,5465630
40,Oman,0.7859999999999999,5223375
138,Pakistan,0.665,225199937
42,Panama,0.78,4381579
56,Papua New Guinea,0.7659999999999999,9119010
54,Paraguay,0.768,7219638
37,Peru,0.7879999999999999,33359418
7,Philippines,0.8370000000000001,111046913
130,Poland,0.677,37797005
119,Portugal,0.6920000000000001,10167925
160,Qatar,0.633,2930528
52,Republic Of The Congo,0.769,5657013
153,Romania,0.647,19127774
1,Russia,0.879,145912025
76,Rwanda,0.742,13276513
87,Saint Lucia,0.7290000000000001,184400
17,Saint Vincent And The Grenadines,0.818,111263
70,Samoa,0.747,200149
132,Sao Tome And Principe,0.674,223368
8,Saudi Arabia,0.8340000000000001,35340683
90,Senegal,0.726,17196301
131,Serbia,0.6759999999999999,8697550
117,Sierra Leone,0.6940000000000001,8141343
62,Singapore,0.757,5896686
169,Slovakia,0.498,5460721
142,Slovenia,0.662,2078724
111,Solomon Islands,0.7,703996
20,South Africa,0.8059999999999999,60041994
134,South Korea,0.67,51305186
116,Spain,0.6940000000000001,46745216
110,Sri Lanka,0.7,21497310
122,Sudan,0.687,44909353
11,Suriname,0.8320000000000001,591800
2,Sweden,0.867,10160169
106,Switzerland,0.705,8715494
113,Syria,0.6990000000000001,18275702
65,Taiwan,0.7509999999999999,23855010
148,Tajikistan,0.6559999999999999,9749627
144,Tanzania,0.6609999999999999,61498437
5,Thailand,0.846,69950850
168,Timor Leste,0.565,1343873
80,Togo,0.7340000000000001,8478250
125,Tonga,0.682,106760
82,Trinidad And Tobago,0.732,1403375
105,Tunisia,0.705,11935766
33,Turkey,0.794,85042738
161,Turkmenistan,0.63,6117924
85,Uganda,0.7290000000000001,47123531
170,Ukraine,0.24100000000000002,43466819
31,United Arab Emirates,0.7959999999999999,9991089
71,United Kingdom,0.746,68207116
3,United States,0.852,332915073
94,Uruguay,0.721,3485151
121,Vanuatu,0.688,314464
73,Venezuela,0.743,28704954
59,Vietnam,0.7609999999999999,98168833
26,Yemen,0.7979999999999999,30490640
28,Zambia,0.7979999999999999,18920651
95,Zimbabwe,0.7190000000000001,15092171
